1992,GZ 125 pack,chandelier,1
1993,GZ 127 pack,roi solei,1
1994,GZ 140 pack,xmas by xian lax,3
1995,GZ 141,eiga-shi,1
1995,GZ 142,despiste,1
1995,GZ 143,time to reflect,1
1995,GZ 148 pack,magic spell,2
1996,GZ 152 pack,light tree,1
1996,GZ 900 pack,christmas 97,2
1996,PMZ 105 ,ferther,1
1995,SCZ 103 pack,unlimited,1
1995,SDZ 101 pack,c. monsta,1
1996,SLZ 104 pack,zapping,2
1991,GZ 117,fläck,1
1991,GZ 118,test,1
1991,GZ 119,360º rosso suu blackout,1
1991,GZ 120 ,wheel animal,1
1992,GZ 123 pack,san francis,1
1994,GZ 504 pack,Marylin,1
,GZ 513 pack,breakfast,1
1993,PWZ 104 pack,orb,3
1993,SDG 100,sailor's joy,1
1993,SDG 103,sheny drops,1
1992,SDJ 100,coming tide,1
1993,SDJ 101,bay breeze,1
1992,SDK 104,jelly bubbles,1
1992,SDK 106,red island,1
1993,SDK 109,mint drops,1
1992,SDN 102,divine,1
1992,SDN 103,spray-up,1
1993,SDN 104,rowing,1
1993,SDN 105,over the wave,1
1992,SSB 100,jess'rush,1
1992,SSK 100,coffee break,1
1993,SSK 102,movimento,1
1993,SSK 103 ,orologio night shift,1
1990,SCB 100,blalck Friday,1
1991,SCB 107,roller ball,1
1992,SCB 108,award,1
1992,SCB 109,colossal,1
1993,SCB 110,moon shadow,2
1993,SCB 111,lodge,1
1993,SCG 101,golden globe,1
1994,SCG 103,inspiral,1
1992,SCJ 101,grand prix,1
1993,SCK 100,wild card,1
1993,SCK 101,blue chip,1
1993,SCK 102,riding star,1
1993,SCK 104,jelly stag,1
1993,SCL 102,sound,1
1993,SCL 103,pink springs,1
1992,SCM 101,sirio,1
1993,SCM 102,jet lag,1
,SCM 401,atz eco,2
1991,SCN 102,silver star,1
1992,SCN 104,timeless zone,1
1993,SCN 106,alabama,1
1994,SCN 108,performance,1
1994,SBB 100,black rudder,1
1994,SBK 100,silver moon,1
1991,SAB 100,black motion,1
1992,SAB 101,5th avenue,1
1993,SAB 102,black cincles,1
1993,SAG 100,gran via,1
1992,SAK 100,françois 1er,1
1992,SAK 101,red ahead,1
,SAK 102,time to move,1
1993,SAK 103,monte napoleone,1
1993,SAK 104,nachtigall,1
1993,SAK 106,st. Peter's gate,2
1993,SAK 108,copper rush,1
1993,SAK 109,happy wheels,1
1994,SAK 111,ramarro,1
1994,SAK 113,serti misterieux,1
1991,SAM 100,rubin,1
1993,SAM 400,roppongi,1
1991,SAN 100,blue matic,1
1993,SAN 101,mappamondo,1
1993,SAN 102,baru,1
1993,SAN 400,brick-ett,1
